model,dataset,seed,prediction_change_pct,accuracy_gain_pp
rf,elec2,1,0.0,0.0
rf,elec2,1,5.194805194805195,-1.2987012987012991
rf,elec2,1,0.5555555555555556,0.5555555555555536
rf,elec2,1,2.5,2.500000000000002
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,2.5,1.5000000000000013
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.5,0.5000000000000004
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,2.2222222222222223,0.0
rf,elec2,1,2.0,-1.9999999999999907
rf,elec2,1,0.0,0.0
rf,elec2,1,2.8901734104046244,0.5780346820809301
rf,elec2,1,5.128205128205128,5.128205128205121
rf,elec2,1,0.0,0.0
rf,elec2,1,1.7241379310344827,1.7241379310344862
rf,elec2,1,6.25,6.25
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.8620689655172413,-0.8620689655172376
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,2.9940119760479043,-1.7964071856287456
rf,elec2,1,1.2987012987012987,-1.2987012987012991
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,2.0,0.0
rf,elec2,1,0.819672131147541,0.8196721311475419
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.5376344086021506,0.5376344086021501
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,1.2987012987012987,1.2987012987012991
rf,elec2,1,5.194805194805195,-2.5974025974025983
rf,elec2,1,1.4084507042253522,1.4084507042253502
rf,elec2,1,8.737864077669903,-8.73786407766991
rf,elec2,1,7.042253521126761,7.042253521126762
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.0,0.0
rf,elec2,1,0.5780346820809248,0.5780346820809301
rf,elec2,1,1.5625,1.5625
rf,elec2,1,0.0,0.0
rf,elec2,1,0.5208333333333333,0.520833333333337
rf,elec2,1,0.0,0.0
rf,elec2,1,2.459016393442623,2.4590163934426257
rf,elec2,1,3.0,2.9999999999999916
rf,elec2,1,2.5,2.499999999999991
rf,elec2,1,0.0,0.0
rf,elec2,1,5.0,1.9999999999999907
rf,elec2,1,0.0,0.0
rf,elec2,1,1.4084507042253522,-1.4084507042253502
rf,elec2,2,0.5988023952095809,0.5988023952095856
rf,elec2,2,0.0,0.0
rf,elec2,2,3.546099290780142,3.546099290780147
rf,elec2,2,1.0050251256281406,1.005025125628145
rf,elec2,2,0.0,0.0
rf,elec2,2,1.0,1.0000000000000009
rf,elec2,2,5.769230769230769,5.769230769230771
rf,elec2,2,0.0,0.0
rf,elec2,2,3.2467532467532463,3.2467532467532423
rf,elec2,2,4.444444444444445,4.444444444444451
rf,elec2,2,0.0,0.0
rf,elec2,2,1.4184397163120568,0.0
rf,elec2,2,1.5,0.5000000000000004
rf,elec2,2,0.0,0.0
rf,elec2,2,1.2987012987012987,1.2987012987012991
rf,elec2,2,0.0,0.0
rf,elec2,2,0.5,-0.5000000000000004
rf,elec2,2,0.0,0.0
rf,elec2,2,0.5780346820809248,-0.578034682080919
