dataset,model,policy,stream_position_pct,cumulative_cost_pct_of_rebuild_total
covtype,rf,MechanismSelector,37.93666666666667,34.01143454202967
covtype,rf,MechanismSelector,38.36333333333334,34.59912879679774
covtype,rf,MechanismSelector,39.25222222222222,35.82352248646103
covtype,rf,MechanismSelector,40.14111111111111,37.047916176124325
covtype,rf,MechanismSelector,43.056666666666665,38.57840828820344
covtype,rf,MechanismSelector,45.83,38.57840828820344
covtype,rf,MechanismSelector,46.221111111111114,38.57840828820344
covtype,rf,MechanismSelector,46.61222222222222,38.57840828820344
covtype,rf,MechanismSelector,47.00333333333333,38.57840828820344
covtype,rf,MechanismSelector,47.35888888888889,38.57840828820344
covtype,rf,MechanismSelector,47.75,38.57840828820344
covtype,rf,MechanismSelector,48.14111111111111,38.57840828820344
covtype,rf,MechanismSelector,48.49666666666667,38.57840828820344
covtype,rf,MechanismSelector,48.88777777777778,38.57840828820344
covtype,rf,MechanismSelector,49.24333333333333,38.57840828820344
covtype,rf,MechanismSelector,49.52777777777778,38.57840828820344
covtype,rf,MechanismSelector,49.638888888888886,38.72557099128797
covtype,rf,MechanismSelector,49.88333333333333,39.049328938073934
covtype,rf,MechanismSelector,49.99444444444445,39.19649164115847
covtype,rf,MechanismSelector,50.23888888888889,39.520249587944434
covtype,rf,MechanismSelector,50.35,39.66741229102896
covtype,rf,MechanismSelector,50.59444444444444,39.99117023781493
covtype,rf,MechanismSelector,50.80777777777778,40.27372262773723
covtype,rf,MechanismSelector,51.02111111111111,40.55627501765952
covtype,rf,MechanismSelector,51.23444444444444,40.838827407581825
covtype,rf,MechanismSelector,51.41222222222222,41.07428773251707
covtype,rf,MechanismSelector,51.66111111111111,41.40393218742642
covtype,rf,MechanismSelector,52.08777777777778,41.99162644219449
covtype,rf,MechanismSelector,55.03888888888889,43.522118554273604
covtype,rf,MechanismSelector,56.21222222222222,45.05261066635272
covtype,rf,MechanismSelector,57.13666666666666,46.32593595479162
covtype,rf,MechanismSelector,58.132222222222225,47.69719802213327
covtype,rf,MechanismSelector,58.80777777777778,48.627707793736754
covtype,rf,MechanismSelector,59.44777777777778,49.50921238521309
covtype,rf,MechanismSelector,61.154444444444444,51.039704497292206
covtype,rf,MechanismSelector,61.33222222222222,51.27516482222745
covtype,rf,MechanismSelector,61.443333333333335,51.422327525311985
covtype,rf,MechanismSelector,61.58111111111111,51.6048092771368
covtype,rf,MechanismSelector,61.69222222222222,51.751971980221334
covtype,rf,MechanismSelector,61.803333333333335,51.89913468330586
covtype,rf,MechanismSelector,61.93666666666667,52.0757299270073
covtype,rf,MechanismSelector,62.114444444444445,52.31119025194255
covtype,rf,MechanismSelector,62.25666666666667,52.49955851189075
covtype,rf,MechanismSelector,62.47,52.78211090181304
covtype,rf,MechanismSelector,62.79,52.78211090181304
covtype,rf,MechanismSelector,62.93222222222222,52.97047916176124
covtype,rf,MechanismSelector,63.04333333333334,53.11764186484577
covtype,rf,MechanismSelector,63.154444444444444,53.264804567930305
covtype,rf,MechanismSelector,63.394444444444446,53.58267600659289
covtype,rf,MechanismSelector,63.57222222222222,53.81813633152814
covtype,rf,MechanismSelector,63.68333333333333,53.96529903461267
covtype,rf,MechanismSelector,63.85666666666667,54.194872851424535
covtype,rf,MechanismSelector,64.07,54.477425241346836
covtype,rf,MechanismSelector,65.03,55.79975570991288
covtype,rf,MechanismSelector,67.16333333333333,55.79975570991288
covtype,rf,MechanismSelector,67.48333333333333,56.24050800565105
covtype,rf,MechanismSelector,67.59444444444445,56.38767070873558
covtype,rf,MechanismSelector,67.76777777777778,56.61724452554745
covtype,rf,MechanismSelector,67.9811111111111,56.89979691546974
covtype,rf,MechanismSelector,68.51444444444445,57.63443312926772
covtype,rf,MechanismSelector,69.08333333333333,58.4180009418413
covtype,rf,MechanismSelector,69.9011111111111,59.544384271250294
covtype,rf,MechanismSelector,70.47,60.327952083823874
covtype,rf,MechanismSelector,70.86111111111111,60.8666411584648
covtype,rf,MechanismSelector,71.75,62.09103484812809
covtype,rf,MechanismSelector,72.49666666666667,63.11948139863433
covtype,rf,MechanismSelector,73.45666666666666,64.44181186720037
covtype,rf,MechanismSelector,74.41666666666667,65.76414233576642
covtype,rf,MechanismSelector,74.98555555555555,66.54771014834
covtype,rf,MechanismSelector,75.69666666666667,67.52722510007064
covtype,rf,MechanismSelector,76.6211111111111,68.80055038850954
covtype,rf,MechanismSelector,77.2611111111111,69.68205497998588
covtype,rf,MechanismSelector,77.86555555555556,70.5146279726866
covtype,rf,MechanismSelector,78.22111111111111,71.00438544855191
covtype,rf,MechanismSelector,79.14555555555556,72.27771073699081
covtype,rf,MechanismSelector,80.78111111111112,73.80820284906993
covtype,rf,MechanismSelector,82.80777777777777,75.33869496114905
covtype,rf,MechanismSelector,83.76777777777778,76.6610254297151
covtype,rf,MechanismSelector,84.40777777777778,77.54253002119142
covtype,rf,MechanismSelector,85.01222222222222,78.37510301389216
